state,bio_age_5_17,bio_age_17_,youth_bio_pct
Mizoram,85531,34798,71.08095305371107
Chandigarh,49171,25311,66.01729276872264
Uttar Pradesh,6207105,3370630,64.80765024298543
Assam,596624,386098,60.71137106933598
Andhra Pradesh,2241467,1473166,60.341546526938195
Arunachal Pradesh,42894,29500,59.25076663811918
Manipur,166465,116122,58.907522285172355
Andaman and Nicobar Islands,11806,8892,57.039327471253266
Uttarakhand,424441,340324,55.49953253613855
Telangana,946497,791157,54.469819653394744
Madhya Pradesh,3200117,2723654,54.021618999113905
Jammu and Kashmir,420349,371298,53.098034856444855
Daman and Diu,4746,4202,53.039785426911045
Sikkim,11932,10888,52.2874671340929
Rajasthan,2066747,1928208,51.733924412164846
Tripura,147535,144620,50.49887901969845
Goa,34244,34153,50.066523385528605
Odisha,1211389,1253571,49.144367454238605
Ladakh,2809,2954,48.741974665972585
Himachal Pradesh,191566,204668,48.346684030143805
Tamil Nadu,2227253,2470865,47.407344813391234
Karnataka,1244999,1390955,47.23143878838553
Lakshadweep,2226,2594,46.18257261410788
Gujarat,1460655,1735859,45.69524801080176
Bihar,2208141,2689446,45.086304745581856
Jharkhand,876613,1149684,43.2618219342969
Delhi,556237,748125,42.644373264477196
Haryana,693667,941787,42.41433877076335
Meghalaya,36531,51095,41.68968114486568
West Bengal,1040512,1484107,41.21461495774214
Kerala,647939,961791,40.25140862132159
Punjab,700157,1039514,40.246517876081164
Dadra and Nagar Haveli,10863,16925,39.09241399165107
Puducherry,27046,42862,38.68798992962179
Maharashtra,3512712,5713427,38.073477973830656
Chhattisgarh,884555,1764179,33.39538813637005
Dadra and Nagar Haveli and Daman and Diu,753,1779,29.739336492890995
Nagaland,32561,77032,29.710839195934046
